Объект;Название ОИ;ДЦ источник;№ОИ;UID;ДЦ получатель;№ОИ;UID;Комментарии;передача в ИА
ПС 750 кВ Владимирская;ЦЕНТР P Владимир - Радуга юж.;ОДУ Средней Волги;627;35e31fdd-405a-49e9-821f-07d7222e8c48;РДУ Татарстана;4830;acbf3286-033d-402c-b6f9-9b61d8223e4d;Несоответсвие привязки в ИМ;False
ПС 750 кВ Владимирская;ЦЕНТР Q Владимир - Радуга юж.;ОДУ Средней Волги;1464;11fa4757-9c47-4a5a-9393-c3a838a7df01;РДУ Татарстана;4831;ca365202-5f2c-4668-9408-10cc64220844;Несоответсвие привязки в ИМ;False
ПС 110 кВ Сурск;ПЭС P ВЛ 110 кВ Сурск - Кижеватово(2);Пензенское РДУ;9970;bdf32fc3-042a-4735-bd58-f878c4330bc6;ОДУ Средней Волги;3646;28f41613-948b-4eda-add3-fdc5960b9701;Несоответсвие привязки в ИМ;True
ПС 110 кВ Сурск;ПЭС Q ВЛ 110 кВ Сурск - Кижеватово(2);Пензенское РДУ;9971;7759867f-7735-4cdb-a889-c910bc9598db;ОДУ Средней Волги;3647;ec2c061f-e59b-411f-866c-34be3db2a111;Несоответсвие привязки в ИМ;True
ПС 220 кВ Головная;СамЭС Головная - Граждан 110 Р;Самарское РДУ;912;61c8e7d0-e65e-4a09-a051-18433c0f4da1;ОДУ Средней Волги;3309;f8de2d84-7b63-4a6a-88c6-69191058fa0e;Несоответсвие привязки в ИМ;False
ПС 220 кВ Чистополь;ТЭС Чистополь P 110 Часовая - 1ц;РДУ Татарстана;140;8cc8dd14-4142-4e04-ade0-2b459ba00b92;ОДУ Средней Волги;6697;d6758a3f-7a6f-47c4-a3c6-83ac9ca77541;Несоответсвие привязки в ИМ;False
ПС 220 кВ Чистополь;ТЭС Чистополь Q 110 Часовая - 1ц;РДУ Татарстана;141;d3c87569-3b2f-45ad-8223-e3f73f07f9e5;ОДУ Средней Волги;6698;fb7a3fdb-838a-4980-847f-d91505db92c5;Несоответсвие привязки в ИМ;False
ПС 220 кВ Чистополь;ТЭС Чистополь P 110 Часовая - 2ц;РДУ Татарстана;142;d997c0b6-c8cd-4226-8609-4f63b9c5625b;ОДУ Средней Волги;6699;2564cd23-c608-4103-a306-59de52eebefd;Несоответсвие привязки в ИМ;False
ПС 220 кВ Чистополь;ТЭС Чистополь Q 110 Часовая - 2ц;РДУ Татарстана;143;759e8b09-386c-4747-8a97-56165f66e438;ОДУ Средней Волги;6700;0462c28c-c7b0-4123-bfc8-c801ccf08a4e;Несоответсвие привязки в ИМ;False
ПС 500 кВ Азот;U500 АЗОТ ( c ВЛ ЖГЭС );ОДУ Средней Волги;6;7765ca10-88a6-49b2-b8e5-28f2790627e8;Нижегородское РДУ;13987;cf42bdf3-05d7-49ff-93e9-4af8b97a8cdc;Несоответсвие привязки в ИМ;True
ПС 500 кВ Азот;U500 АЗОТ ( c ВЛ ЖГЭС );ОДУ Средней Волги;6;7765ca10-88a6-49b2-b8e5-28f2790627e8;Пензенское РДУ;3023;be9f4512-3b3e-4c91-a9c9-719c348e560e;Несоответсвие привязки в ИМ;True
ПС 500 кВ Азот;U500 АЗОТ ( c ВЛ ЖГЭС );ОДУ Средней Волги;6;7765ca10-88a6-49b2-b8e5-28f2790627e8;Саратовское РДУ;11371;cf42bdf3-05d7-49ff-93e9-4af8b97a8cdc;Несоответсвие привязки в ИМ;True
ПС 500 кВ Азот;U110 Азот (2с.ш);Самарское РДУ;876;7a7867b8-f419-49f5-a515-8e27e7358a12;ОДУ Средней Волги;8;0a74e6fb-b6b8-47ee-9ed1-d14754e1f40b;Несоответсвие привязки в ИМ;True
АЭС Балаковская АЭС;U500 БАЭС 1СШ;ОДУ Средней Волги;61;6c1084f7-6a50-4186-87de-d343fe1f2fcb;Пензенское РДУ;3042;1c76900a-214c-4b8c-a84e-40aee7e26875;Несоответсвие привязки в ИМ;True
АЭС Балаковская АЭС;U500 БАЭС 1СШ;ОДУ Средней Волги;61;6c1084f7-6a50-4186-87de-d343fe1f2fcb;РДУ Татарстана;4787;1c76900a-214c-4b8c-a84e-40aee7e26875;Несоответсвие привязки в ИМ;True
АЭС Балаковская АЭС;Р500 БАЭС - Красноармейская 2;ОДУ Средней Волги;65;2e409994-0ad8-455d-881e-a4d6968366b0;Самарское РДУ;1258;e7add161-e840-4fc4-97e8-f42af397e9de;Несоответсвие привязки в ИМ;True
ПС 500 кВ Бугульма;U500 Бугульма - Бекетово;ОДУ Средней Волги;104;5cdd0667-ff08-48ed-b076-b29f55688195;Пензенское РДУ;3057;2e6bed03-4c29-421d-9779-d90c61586f1c;Несоответсвие привязки в ИМ;True
ПС 500 кВ Вешкайма;Вешкайма U ВЛ 500 кВ Вешкайма ЖГЭС - Вешкайма Южная;ОДУ Средней Волги;160;31670e94-ec02-468e-8c9e-4d26ba9aad8d;Саратовское РДУ;2932;7f6b0698-f9df-4cd4-a9e8-14090297c08c;Несоответсвие привязки в ИМ;True
ПС 500 кВ Вешкайма;Вешкайма U ВЛ 500 кВ Вешкайма ЖГЭС - Вешкайма Южная;ОДУ Средней Волги;160;31670e94-ec02-468e-8c9e-4d26ba9aad8d;РДУ Татарстана;4802;e613c663-847c-41c6-93ed-bc363649d4ca;Несоответсвие привязки в ИМ;True
ГЭС Жигулёвская ГЭС;P500 ЖГЭС - Вешкайма Южная;ОДУ Средней Волги;226;9cc941a3-6e5a-49a0-a05a-6690128b67e7;Саратовское РДУ;2946;774a921e-50a1-448f-8946-f5c2bdd59cb8;Несоответсвие привязки в ИМ;True
ГЭС Жигулёвская ГЭС;P500 ЖГЭС - Вешкайма Северная;ОДУ Средней Волги;227;774a921e-50a1-448f-8946-f5c2bdd59cb8;Саратовское РДУ;2948;9cc941a3-6e5a-49a0-a05a-6690128b67e7;Несоответсвие привязки в ИМ;True
ГЭС Жигулёвская ГЭС;Q500 ЖГЭС - Вешкайма Южная;ОДУ Средней Волги;228;54072bad-96e6-4fa9-bffa-11e87abfaf4c;Саратовское РДУ;2947;ebb875a9-c8f7-434d-a22e-b673843c6f3d;Несоответсвие привязки в ИМ;True
ГЭС Жигулёвская ГЭС;Q500 ЖГЭС - Вешкайма Северная;ОДУ Средней Волги;229;ebb875a9-c8f7-434d-a22e-b673843c6f3d;Саратовское РДУ;2949;54072bad-96e6-4fa9-bffa-11e87abfaf4c;Несоответсвие привязки в ИМ;True
ГРЭС Заинская ГРЭС;ВЛ 500 кВ Заинская ГРЭС - Киндери Uab;ОДУ Средней Волги;243;34d1d3cc-53bd-4231-aa4d-d489c5b12a88;Пензенское РДУ;3087;951bc280-a80c-4588-a951-7ab2196d6c7c;Несоответсвие привязки в ИМ;False
ПС 500 кВ Киндери;Р Киндери АТ-1 220/110;РДУ Татарстана;494;cff0dfe9-db6b-4aea-a819-0accd59191bf;ОДУ Средней Волги;358;df89c25f-4bb2-4209-8818-6aa70e1d1e62;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;P Киндери АТ-2 220/110;РДУ Татарстана;496;2ae2a15c-10c0-4950-b1b7-fc0156ef5a8f;ОДУ Средней Волги;362;34e5e64f-ee4e-4457-a35b-201e8bf0d0c4;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;Q Киндери АТ-2 220/110;РДУ Татарстана;497;8221bc01-9295-466a-9840-7f93f22ae518;ОДУ Средней Волги;363;f28c3efb-0358-40bc-bf41-1544ccad9ff0;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;P Киндери АТ-3 220/110;РДУ Татарстана;498;85ce3c7c-e9aa-4245-b321-bc225d03e199;ОДУ Средней Волги;364;58a8fbc8-bdc4-48f0-9b9c-dc621f1eb4cd;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;Р Киндери АТ-4 500/220;ОДУ Средней Волги;382;95a56963-0e2c-4b15-bd0b-9ad094cf8a34;Нижегородское РДУ;14049;682ea156-9318-40cf-a797-8a1588abb09b;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;Р Киндери АТ-5 500/220;ОДУ Средней Волги;383;3e820a53-7ab2-4956-9fbd-124afc3e8dea;Нижегородское РДУ;14050;84f2c7b0-ac76-443e-9e37-64f01251ed50;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;Q Киндери АТ-4 500/220;ОДУ Средней Волги;384;84f59308-326f-442d-8423-f7cc87c79177;Нижегородское РДУ;14051;2f0ec5df-1757-40fd-b740-4414a9211d42;Несоответсвие привязки в ИМ;True
ПС 500 кВ Киндери;Q Киндери АТ-5 500/220;ОДУ Средней Волги;385;e896a2eb-5f6f-419c-9838-43dd332e31d4;Нижегородское РДУ;14052;fae49e5e-d048-4d61-ae04-d9b2c3f11a2d;Несоответсвие привязки в ИМ;True
ПС 500 кВ Курдюм;Курдюм АТ-2 500/220 P;ОДУ Средней Волги;424;d7511213-4ecd-4ced-a818-d943935c184a;Пензенское РДУ;3107;9cbd1281-730b-4208-8f69-e13b8ac1a23d;Несоответсвие привязки в ИМ;True
ПС 500 кВ Курдюм;Курдюм АТ-2 500/220 Q;ОДУ Средней Волги;425;1b8b80af-e9da-4ad1-bf54-ab9dc8fd1b19;Пензенское РДУ;3108;3bbe9347-d67b-46f1-805f-8259e69b9574;Несоответсвие привязки в ИМ;True
ПС 500 кВ Курдюм;Курдюм АТ-3 500/220 P;ОДУ Средней Волги;430;93870af9-0b29-479d-b59f-4897b4639f47;Пензенское РДУ;3113;4f331fa5-f2ce-4be7-98e2-94722f34e683;Несоответсвие привязки в ИМ;True
