Объект;ДЦ источник;Название ОИ;Категория;№ОИ;UID OI;UID PO;ДЦ получатель;Название ОИ;Категория;№ОИ;UID OI;UID PO;Комментарии;передача в ИА
ГЭС Саратовская ГЭС;ОДУ Средней Волги;P500 СарГЭС - Курдюм;ТИ;524;62d156eb-b0e9-4b6b-8396-6d41405c059b;f8f7a518-438a-4513-9700-0fb9a002297a;Пензенское РДУ;I3122;ТИ;3122;546a596f-eefb-47d9-b5da-034b5a260da2;f8f7a518-438a-4513-9700-0fb9a002297a;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
ГЭС Саратовская ГЭС;ОДУ Средней Волги;P500 СарГЭС - БАЭС;ТИ;523;865a1acb-724d-41b5-9c72-fcfa7034e56a;9fae8658-6d52-47de-b242-2c90f261dc06;Пензенское РДУ;I3121;ТИ;3121;126522da-654a-4fa2-a151-270e782220e9;9fae8658-6d52-47de-b242-2c90f261dc06;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
ГЭС Саратовская ГЭС;ОДУ Средней Волги;P500 СарГЭС - БАЭС;ТИ;523;865a1acb-724d-41b5-9c72-fcfa7034e56a;9fae8658-6d52-47de-b242-2c90f261dc06;Самарское РДУ;I4127;ТИ;4127;31531af6-cfa6-4870-ac33-7cdf8c970576;9fae8658-6d52-47de-b242-2c90f261dc06;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
РДУ Нижегородское;Нижегородское РДУ;I25601;ТИ;25601;d94d3997-dfb6-4f0f-9e3d-9b21856dc9f0;d27b7461-5471-488f-8545-2bae2b582d7b;ОДУ Средней Волги;МАЭС Потребление МаЭС;ТИ;1164;73d43f6e-b9b5-4005-906e-b4066c9f0650;d27b7461-5471-488f-8545-2bae2b582d7b;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
РДУ Пензенское;Пензенское РДУ;I892;ТИ;892;8bb88f25-aa1e-42a9-a6a8-edcc901e4604;43eb8b62-470a-40b3-82c7-b2e309922794;ОДУ Средней Волги;ПЭС Потребление;ТИ;881;2351bc46-81c7-4ed2-a477-60c66a2b5245;43eb8b62-470a-40b3-82c7-b2e309922794;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
РДУ Саратовское;Саратовское РДУ;I572;ТИ;572;641e7a86-4f12-4095-a732-0e9d37d26cc0;0339a91f-a129-42a9-b65c-a9fbf65b7790;ОДУ Средней Волги;СЭС Потребление СЭС;ТИ;952;c93bb34e-0855-4e71-9623-b1de892afdcb;0339a91f-a129-42a9-b65c-a9fbf65b7790;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
РДУ Татарстана;РДУ Татарстана;3100;ТИ;3100;6efac9a2-b0bd-4334-800e-0dd65dba91c6;8f2aa805-582b-4516-b253-383d73d51e94;ОДУ Средней Волги;ТЭС ПОТРЕБЛЕНИЕ ИЗ ОИК ТЭС;ТИ;980;191d7a86-7f37-4da0-bff9-bf51dff6d664;8f2aa805-582b-4516-b253-383d73d51e94;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
РДУ Самарское;Самарское РДУ;I24413;ТИ;24413;c2d58a6b-7e84-4dad-b614-6adf4d66b937;78670a82-842e-4f6d-a8b1-b1152e8dd7dc;ОДУ Средней Волги;УЭС Потребление УЭС терр.;ТИ;1123;88a96eae-a62a-46c0-9e38-57ee6ce9d348;78670a82-842e-4f6d-a8b1-b1152e8dd7dc;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
Грп ОПЕРАТИВНЫЙ РАСЧЕТ (ТИ);ОДУ Средней Волги;Сечение СВУ - 4;ТИ;2363;da311646-9ca9-4f56-b41a-607df91fedd0;b7c0bb44-f610-4568-a108-0cf2977c5a40;Самарское РДУ;I36432;ТИ;36432;af73b4a8-64e3-474b-8cad-5369a6cc12b9;c8a67a96-a890-4fe6-bd7e-24accbd0c2e9;Несоответсвие привязки в ИМ;False
РДУ Нижегородское;Нижегородское РДУ;I31712;ТИ;31712;5a7e2008-500d-4681-b252-3be4d4c59309;f7d25190-f023-4e65-bb9e-3f301ab25005;ОДУ Средней Волги;НЭС Потребление территории Северного района;ТИ;10890;02a49e97-6065-433f-8788-51133f7f0eda;f7d25190-f023-4e65-bb9e-3f301ab25005;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
АО Чувашэнерго;Нижегородское РДУ;H2848;ПВ;2848;085f8343-9e4f-4f9d-981c-58fc70a1869c;1b89fe81-8e91-4673-b330-98c0662fccd7;ОДУ Средней Волги;Потр. ЭС Чувашской республики;ПВ;105;8396993f-fa83-4865-ac39-71dfcc04243c;1b89fe81-8e91-4673-b330-98c0662fccd7;Несоответсвие типа измерения: Усредненное значение за последнюю минуту отчетного получаса и Мгновенное значение на конец отчетного получаса;False
